timestamp,recv_time,price,volume,aggressor_side,buyer,seller,trade_id
2026-07-06T01:00:00.943756,2026-07-06T01:00:00.950632+00:00,164.8,200,ask,YieldingYams,WavyWalnuts,8948890
2026-07-06T01:00:05.359068,2026-07-06T01:00:05.370829+00:00,164.5,20,ask,YieldingYams,BrilliantBurritos,8948935
2026-07-06T01:00:06.356452,2026-07-06T01:00:06.360015+00:00,164.7,11,ask,AverageAlmonds,Xuanyu Liu,8948945
2026-07-06T01:00:06.941344,2026-07-06T01:00:06.951635+00:00,164.8,200,bid,AverageAlmonds,WavyWalnuts,8948952
2026-07-06T01:00:06.941344,2026-07-06T01:00:06.951635+00:00,164.8,300,bid,AverageAlmonds,YieldingYams,8948953
2026-07-06T01:00:07.539597,2026-07-06T01:00:07.544511+00:00,164.8,200,bid,AverageAlmonds,WavyWalnuts,8948960
2026-07-06T01:00:07.561879,2026-07-06T01:00:07.565361+00:00,164.8,12,ask,AverageAlmonds,Xuanyu Liu,8948963
2026-07-06T01:00:11.801124,2026-07-06T01:00:11.809019+00:00,164.9,200,bid,AverageAlmonds,WavyWalnuts,8949003
2026-07-06T01:00:11.930878,2026-07-06T01:00:11.962221+00:00,165.0,200,ask,AverageAlmonds,WavyWalnuts,8949006
2026-07-06T01:00:11.958149,2026-07-06T01:00:11.962221+00:00,165.0,22,ask,AverageAlmonds,Xuanyu Liu,8949008
2026-07-06T01:00:12.106424,2026-07-06T01:00:12.118437+00:00,165.0,26,ask,AverageAlmonds,Kaleb Liu,8949011
2026-07-06T01:00:12.380734,2026-07-06T01:00:12.391992+00:00,165.0,52,ask,AverageAlmonds,YieldingYams,8949017
2026-07-06T01:00:16.045265,2026-07-06T01:00:16.052262+00:00,165.0,200,bid,AverageAlmonds,WavyWalnuts,8949053
2026-07-06T01:00:16.324300,2026-07-06T01:00:16.331346+00:00,165.0,300,ask,AverageAlmonds,YieldingYams,8949058
2026-07-06T01:00:16.634779,2026-07-06T01:00:16.643028+00:00,165.0,325,bid,AverageAlmonds,YieldingYams,8949062
2026-07-06T01:00:16.777186,2026-07-06T01:00:16.784654+00:00,165.0,175,ask,AverageAlmonds,WavyWalnuts,8949068
2026-07-06T01:00:17.237150,2026-07-06T01:00:17.246590+00:00,164.9,25,bid,AverageAlmonds,WavyWalnuts,8949075
2026-07-06T01:00:19.198870,2026-07-06T01:00:19.215435+00:00,165.0,200,ask,YieldingYams,WavyWalnuts,8949101
2026-07-06T01:00:20.295807,2026-07-06T01:00:20.299562+00:00,165.0,11,bid,Xuanyu Liu,YieldingYams,8949111
2026-07-06T01:00:22.006227,2026-07-06T01:00:22.017942+00:00,165.0,20,bid,BrilliantBurritos,YieldingYams,8949140
2026-07-06T01:00:22.907227,2026-07-06T01:00:22.914146+00:00,164.9,200,ask,WavyWalnuts,YieldingYams,8949150
2026-07-06T01:00:26.713484,2026-07-06T01:00:26.717487+00:00,165.0,11,bid,Xuanyu Liu,YieldingYams,8949206
2026-07-06T01:00:27.864192,2026-07-06T01:00:27.875805+00:00,164.9,20,ask,WavyWalnuts,BrilliantBurritos,8949225
2026-07-06T01:00:28.184679,2026-07-06T01:00:28.195477+00:00,164.9,180,ask,WavyWalnuts,YieldingYams,8949227
2026-07-06T01:00:28.201404,2026-07-06T01:00:28.206528+00:00,164.9,12,bid,Xuanyu Liu,YieldingYams,8949229
2026-07-06T01:00:28.888162,2026-07-06T01:00:28.895964+00:00,164.9,200,bid,WavyWalnuts,YieldingYams,8949240
2026-07-06T01:00:32.524927,2026-07-06T01:00:32.532994+00:00,164.8,200,ask,YieldingYams,WavyWalnuts,8949297
2026-07-06T01:00:33.465243,2026-07-06T01:00:33.468650+00:00,164.9,11,bid,Xuanyu Liu,YieldingYams,8949305
2026-07-06T01:00:36.158251,2026-07-06T01:00:36.169918+00:00,164.8,200,ask,YieldingYams,WavyWalnuts,8949343
2026-07-06T01:00:37.377393,2026-07-06T01:00:37.391133+00:00,164.8,200,ask,YieldingYams,WavyWalnuts,8949358
2026-07-06T01:00:37.387451,2026-07-06T01:00:37.391133+00:00,165.0,12,bid,Xuanyu Liu,YieldingYams,8949360
2026-07-06T01:00:44.658952,2026-07-06T01:00:44.663026+00:00,164.8,12,ask,WavyWalnuts,Xuanyu Liu,8949445
2026-07-06T01:00:47.064619,2026-07-06T01:00:47.073265+00:00,164.9,200,bid,WavyWalnuts,YieldingYams,8949490
